Word	cas	stp
find	0	3
mate	0	3
messenger	0	2
chelsea	0	2
bromance	0	4
body	0	2
models	0	2
friday	0	2
exchange	0	3
post	0	2
tour	0	3
explore	0	2
french	0	3
about	0	2
central	0	4
english	0	4
theatre	0	2
finnish	0	2
british	0	3
place	0	2
photographer	0	3
fans	0	3
railway	0	2
travel	0	3
30th	0	2
platonic	0	9
tuesday	0	3
fancy	0	6
pen	0	4
1st	0	4
rave	0	4
click	0	2
their	0	2
strictly	0	7
long	0	4
2	0	2
music	0	2
really	0	3
friend	0	16
head	0	2
shy	0	2
females	0	2
wanna	0	2
gay	0	9
under	0	2
t4w	0	3
else	0	2
train	0	2
cinema	0	7
sissy	0	2
fellow	0	2
work	0	3
attached	0	2
mates	0	3
guide	0	3
something	0	6
close	0	2
w4w	0	19
single	0	3
good	0	4
chat	0	15
partner	0	7
film	0	3
trip	0	2
make	0	7
dinner	0	4
high	0	2
other	0	3
take	0	3
gaby	0	3
party	0	3
drinks	0	6
pal	0	4
nice	0	6
sell	0	2
monday	0	3
wing	0	2
companion	0	2
two	0	2
end	0	3
interested	0	3
friends	0	41
chilled	0	2
short	0	3
off	0	2
maybe	0	4
into	0	2
required	0	4
metal	0	2
anybody	0	2
contact	0	3
talk	0	2
w4ww	0	7
