Word	w4m	stp
m4t	0	2
should	0	2
does	0	3
swap	0	4
m4m	0	76
mail	0	4
holiday	0	3
friendly	0	6
photography	0	2
practice	0	2
watch	0	3
discreet	0	2
420	0	3
bit	0	2
bank	0	2
going	0	2
friends?	0	3
married	0	2
buddies!	0	2
public	0	2
cock	0	2
hunk	0	2
night	0	4
today?	0	2
bi-curious	0	2
friendship	0	16
ride	0	2
knickers	0	4
out?	0	2
available	0	2
oddball	0	2
people	0	4
there	0	2
pals	0	2
some	0	9
japanese	0	2
see	0	5
lawyer	0	3
curious	0	4
saturday	0	4
special	0	2
excitement	0	2
seeking....	0	2
sub	0	2
visiting	0	6
support	0	2
movie	0	4
incalls	0	2
4	0	4
/	0	2
find	0	3
e-mail	0	2
mate	0	3
messenger	0	2
(	0	2
lunch?	0	2
chelsea	0	2
email	0	8
bromance	0	4
models	0	2
friday	0	2
uk	0	3
exchange	0	3
post	0	2
tour	0	3
friend?	0	2
explore	0	2
french	0	3
;)	0	3
by	0	3
about	0	2
central	0	4
english	0	4
theatre	0	2
finnish	0	2
pics	0	3
place	0	2
photographer	0	3
fans	0	3
railway	0	2
travel	0	3
first	0	2
30th	0	2
naughty	0	2
platonic	0	9
friend.	0	2
tuesday	0	3
chat?	0	3
pen	0	4
1st	0	4
rave	0	4
me!	0	2
female,	0	2
click	0	2
would	0	2
their	0	2
strictly	0	7
girls	0	3
2	0	2
music	0	2
"friends	0	2
really	0	3
friend	0	16
head	0	2
shy	0	2
females	0	2
wanna	0	2
gay	0	9
gym	0	3
under	0	2
t4w	0	3
else	0	2
train	0	2
cinema	0	7
sissy	0	2
fellow	0	2
women	0	2
girl?	0	2
work	0	3
attached	0	2
up	0	7
mates	0	3
mature	0	3
guide	0	3
teen	0	2
close	0	2
w4w	0	19
at	0	9
chat	0	15
benefits"	0	2
film	0	3
!	0	2
trip	0	2
there?	0	2
make	0	7
other	0	3
gaby	0	3
drinks	0	6
pal	0	4
indian	0	2
monday	0	3
wing	0	2
companion	0	2
two	0	2
end	0	3
interested	0	3
friends...	0	2
chilled	0	2
short	0	3
off	0	2
maybe	0	4
into	0	2
required	0	4
anybody	0	2
m4mw	0	56
contact	0	3
m4mm	0	5
clean	0	3
time	0	5
m4w	0	212
talk	0	2
w4ww	0	7
